state,city,pollutant,value,year,month,day
Alaska,Fairbanks,SO2,4.0,2014,9,263
Alaska,Fairbanks,CO,0.375,2014,9,264
Alaska,Fairbanks,NO2,10.5,2014,9,264
Alaska,Fairbanks,O3,0.016,2014,9,264
Alaska,Fairbanks,SO2,6.5,2014,9,264
Alaska,Fairbanks,CO,0.495,2014,9,265
Alaska,Fairbanks,NO2,22.9,2014,9,265
Alaska,Fairbanks,O3,0.016,2014,9,265
Alaska,Fairbanks,SO2,4.35,2014,9,265
Alaska,Fairbanks,CO,0.515,2014,9,266
Alaska,Fairbanks,NO2,20.6,2014,9,266
Alaska,Fairbanks,O3,0.015,2014,9,266
Alaska,Fairbanks,SO2,6.6,2014,9,266
Alaska,Fairbanks,CO,0.54,2014,9,267
Alaska,Fairbanks,NO2,24.4,2014,9,267
Alaska,Fairbanks,O3,0.011000000000000001,2014,9,267
Alaska,Fairbanks,SO2,6.35,2014,9,267
Alaska,Fairbanks,CO,0.5549999999999999,2014,9,268
Alaska,Fairbanks,NO2,41.5,2014,9,268
Alaska,Fairbanks,O3,0.017,2014,9,268
Alaska,Fairbanks,SO2,10.45,2014,9,268
Alaska,Fairbanks,CO,1.34,2014,9,269
Alaska,Fairbanks,NO2,95.1,2014,9,269
Alaska,Fairbanks,O3,0.024,2014,9,269
Alaska,Fairbanks,SO2,9.0,2014,9,269
Alaska,Fairbanks,CO,0.7350000000000001,2014,9,270
Alaska,Fairbanks,NO2,31.8,2014,9,270
Alaska,Fairbanks,O3,0.015,2014,9,270
Alaska,Fairbanks,SO2,9.5,2014,9,270
Alaska,Fairbanks,CO,0.595,2014,9,271
Alaska,Fairbanks,NO2,28.5,2014,9,271
Alaska,Fairbanks,O3,0.013000000000000001,2014,9,271
Alaska,Fairbanks,SO2,7.4,2014,9,271
Alaska,Fairbanks,CO,0.505,2014,9,272
Alaska,Fairbanks,NO2,29.3,2014,9,272
Alaska,Fairbanks,O3,0.02,2014,9,272
Alaska,Fairbanks,SO2,4.35,2014,9,272
Alaska,Fairbanks,CO,0.215,2014,9,273
Alaska,Fairbanks,NO2,6.8,2014,9,273
Alaska,Fairbanks,O3,0.018000000000000002,2014,9,273
Alaska,Fairbanks,SO2,3.45,2014,9,273
Alaska,Fairbanks,CO,0.41,2014,10,274
Alaska,Fairbanks,NO2,10.6,2014,10,274
Alaska,Fairbanks,O3,0.009000000000000001,2014,10,274
Alaska,Fairbanks,SO2,5.800000000000002,2014,10,274
Alaska,Fairbanks,CO,0.5900000000000001,2014,10,275
Alaska,Fairbanks,NO2,22.1,2014,10,275
Alaska,Fairbanks,O3,0.013999999999999999,2014,10,275
Alaska,Fairbanks,SO2,6.5,2014,10,275
Alaska,Fairbanks,CO,0.97,2014,10,276
Alaska,Fairbanks,NO2,17.6,2014,10,276
Alaska,Fairbanks,O3,0.018000000000000002,2014,10,276
Alaska,Fairbanks,SO2,14.3,2014,10,276
Alaska,Fairbanks,CO,0.37,2014,10,277
Alaska,Fairbanks,NO2,14.0,2014,10,277
Alaska,Fairbanks,O3,0.017,2014,10,277
Alaska,Fairbanks,SO2,4.05,2014,10,277
Alaska,Fairbanks,CO,0.295,2014,10,278
