,state,good,prop_selling
701,Montana,Eggs,0.826923
702,Montana,Flowers,0.673077
703,Montana,Fruits,0.730769
704,Montana,Grains,0.153846
705,Montana,Herbs,0.75
706,Montana,Honey,0.653846
707,Montana,Jams,0.865385
708,Montana,Juices,0.173077
709,Montana,Maple,0.076923
710,Montana,Meat,0.365385
711,Montana,Mushrooms,0.057692
712,Montana,Nursery,0.192308
713,Montana,Nuts,0.134615
714,Montana,PetFood,0.230769
715,Montana,Plants,0.711538
716,Montana,Poultry,0.269231
717,Montana,Prepared,0.576923
718,Montana,Seafood,0.096154
719,Montana,Soap,0.75
720,Montana,Tofu,0
721,Montana,Trees,0.307692
722,Montana,Vegetables,0.961538
723,Montana,WildHarvested,0.134615
724,Montana,Wine,0.115385
725,Nebraska,Bakedgoods,0.927273
726,Nebraska,Beans,0.072727
727,Nebraska,Cheese,0.218182
728,Nebraska,Coffee,0.218182
729,Nebraska,Crafts,0.709091
730,Nebraska,Eggs,0.745455
731,Nebraska,Flowers,0.545455
732,Nebraska,Fruits,0.8
733,Nebraska,Grains,0.054545
734,Nebraska,Herbs,0.763636
735,Nebraska,Honey,0.690909
736,Nebraska,Jams,0.818182
737,Nebraska,Juices,0.054545
738,Nebraska,Maple,0.145455
739,Nebraska,Meat,0.363636
740,Nebraska,Mushrooms,0.072727
741,Nebraska,Nursery,0.018182
742,Nebraska,Nuts,0.254545
743,Nebraska,PetFood,0.163636
744,Nebraska,Plants,0.490909
745,Nebraska,Poultry,0.345455
746,Nebraska,Prepared,0.454545
747,Nebraska,Seafood,0.054545
748,Nebraska,Soap,0.490909
749,Nebraska,Tofu,0
750,Nebraska,Trees,0.163636
751,Nebraska,Vegetables,1
752,Nebraska,WildHarvested,0.054545
753,Nebraska,Wine,0.072727
754,Nevada,Bakedgoods,0.961538
755,Nevada,Beans,0.153846
756,Nevada,Cheese,0.307692
757,Nevada,Coffee,0.576923
758,Nevada,Crafts,0.769231
759,Nevada,Eggs,0.692308
760,Nevada,Flowers,0.346154
761,Nevada,Fruits,0.846154
762,Nevada,Grains,0.153846
763,Nevada,Herbs,0.846154
764,Nevada,Honey,0.961538
765,Nevada,Jams,0.846154
766,Nevada,Juices,0.384615
767,Nevada,Maple,0.153846
768,Nevada,Meat,0.384615
769,Nevada,Mushrooms,0.115385
770,Nevada,Nursery,0.038462
771,Nevada,Nuts,0.538462
772,Nevada,PetFood,0.384615
773,Nevada,Plants,0.346154
774,Nevada,Poultry,0
775,Nevada,Prepared,0.730769
776,Nevada,Seafood,0.230769
777,Nevada,Soap,0.769231
778,Nevada,Tofu,0.115385
779,Nevada,Trees,0.153846
780,Nevada,Vegetables,1
781,Nevada,WildHarvested,0.153846
782,Nevada,Wine,0.038462
783,New Hampshire,Bakedgoods,0.971014
784,New Hampshire,Beans,0.318841
785,New Hampshire,Cheese,0.73913
786,New Hampshire,Coffee,0.347826
787,New Hampshire,Crafts,0.782609
788,New Hampshire,Eggs,0.913043
789,New Hampshire,Flowers,0.768116
790,New Hampshire,Fruits,0.724638
791,New Hampshire,Grains,0.115942
792,New Hampshire,Herbs,0.855072
793,New Hampshire,Honey,0.811594
794,New Hampshire,Jams,0.913043
795,New Hampshire,Juices,0.202899
796,New Hampshire,Maple,0.884058
797,New Hampshire,Meat,0.855072
798,New Hampshire,Mushrooms,0.231884
799,New Hampshire,Nursery,0.072464
800,New Hampshire,Nuts,0.101449
801,New Hampshire,PetFood,0.217391
802,New Hampshire,Plants,0.637681
803,New Hampshire,Poultry,0.710145
804,New Hampshire,Prepared,0.826087
805,New Hampshire,Seafood,0.347826
806,New Hampshire,Soap,0.855072
807,New Hampshire,Tofu,0
808,New Hampshire,Trees,0.15942
809,New Hampshire,Vegetables,0.971014
810,New Hampshire,WildHarvested,0.15942
811,New Hampshire,Wine,0.434783
812,New Jersey,Bakedgoods,0.855769
813,New Jersey,Beans,0.048077
814,New Jersey,Cheese,0.644231
815,New Jersey,Coffee,0.403846
816,New Jersey,Crafts,0.509615
817,New Jersey,Eggs,0.653846
